Name,Address,Lon,Lat
Beccles,"Beef Meadow, Common Ln, Beccles NR34 9RH",52.4591023,1.5720259
Bury,"The GK IPA Haberden, Southgate Grn, Bury Saint Edmunds IP33 2BL",52.2293,0.7085
Cambridge,"Fields, Ellgia, Grantchester Rd, Cambridge CB3 9ED",52.1829,0.0993
Colchester,"Raven Park, Cuckoo Farm Way, Colchester CO4 5YX",51.9194,0.9259
Crusaders,"Beckhithe, Little Melton Rd, Hethersett, Norwich NR9 3NP",52.6106217,1.1813909
Diss,"Bellrope Ln, Roydon, Diss IP22 5RG",52.383274,1.07904
Fakenham,"Eckersley Dr, Fakenham NR21 9RZ",52.8410931,0.8412776
Haverhill,"School Ln, Haverhill CB9 9DE",52.084039,0.4184581
Holt,"Bridge Rd, Holt NR25 6QT",52.9130816,1.1081743
Ipswich,"Humber Doucy Lane, Ipswich IP4 3PZ",52.0715004,1.1959668
L&Y,"Old Ln, Corton, Lowestoft NR32 5HE",52.5080705,1.7361474
Newmarket,"Pavilion, Scatlback, Elizabeth Ave, Newmarket CB8 0DJ",52.2533999,0.3880533
North Walsham,"Road, The Clubhouse, Scottow, Norwich NR10 5BU",52.760951,1.3682356
Shelford,"The Davey Field, Cambridge Rd, Great Shelford, Cambridge CB22 5JJ",52.1587446,0.1240375
Southwold,"The Common, Southwold IP18 6TB",52.3270181,1.6681319
Stowmarket,"Chilton Fields, Chilton Way, Stowmarket IP14 1SZ",52.1952855,0.9723984
West Norfolk,"Gate House/Gate House La, King's Lynn PE30 3RJ",52.7955611,0.2816534
Wisbech,"Chapel Rd, Wisbech PE13 1RG",52.6672446,0.1562595
Woodbridge,"Hatchley Barn, Orford Rd, Bromeswell, Woodbridge IP12 2PP",52.1029813,1.3760001
Wymondham,"Barnard Fields, off Bray Dr, Reeve Way, Wymondham NR18 0GQ",52.5900641,1.1401406
